// init
S 19008c,1 miss index:<4> 
S 1502c8,4 hit 
S 150348,4 hit 
S 1503c8,4 hit 
S 150448,4 hit 
L 110a00,4 miss index:<16> eviction 
L 110a04,4 hit 
L 110a08,4 hit 
L 110a0c,4 hit 
L 110a10,4 hit 
L 110a14,4 hit 
L 110a18,4 hit 
L 110a1c,4 hit 
S 1500cc,4 hit 
S 15014c,4 hit 
S 1501cc,4 hit 
S 15024c,4 hit 
S 1502cc,4 hit 
S 15034c,4 hit 
S 1503cc,4 hit 
S 15044c,4 hit 
L 110a80,4 miss index:<20> eviction 
L 110a84,4 hit 
L 110a88,4 hit 
L 110a8c,4 hit 
L 110a90,4 hit 
L 110a94,4 hit 
L 110a98,4 hit 
L 110a9c,4 hit 
S 1500d0,4 hit 
S 150150,4 hit 
S 1501d0,4 hit 
S 150250,4 hit 
S 1502d0,4 hit 
S 150350,4 hit 
S 1503d0,4 hit 
S 150450,4 hit 
L 110b00,4 miss index:<24> eviction 
L 110b04,4 hit 
L 110b08,4 hit 
L 110b0c,4 hit 
L 110b10,4 hit 
L 110b14,4 hit 
L 110b18,4 hit 
L 110b1c,4 hit 
S 1500d4,4 hit 
S 150154,4 hit 
S 1501d4,4 hit 
S 150254,4 hit 
S 1502d4,4 hit 
S 150354,4 hit 
S 1503d4,4 hit 
S 150454,4 hit 
L 110b80,4 miss index:<28> eviction 
L 110b84,4 hit 
L 110b88,4 hit 
L 110b8c,4 hit 
L 110b90,4 hit 
L 110b94,4 hit 
L 110b98,4 hit 
L 110b9c,4 hit 
S 1500d8,4 hit 
S 150158,4 hit 
S 1501d8,4 hit 
S 150258,4 hit 
S 1502d8,4 hit 
S 150358,4 hit 
S 1503d8,4 hit 
S 150458,4 hit 
L 110c00,4 miss index:<0> eviction 
L 110c04,4 hit 
L 110c08,4 hit 
L 110c0c,4 hit 
L 110c10,4 hit 
L 110c14,4 hit 
L 110c18,4 hit 
L 110c1c,4 hit 
S 1500dc,4 hit 
S 15015c,4 hit 
S 1501dc,4 hit 
S 15025c,4 hit 
S 1502dc,4 hit 
S 15035c,4 hit 
S 1503dc,4 hit 
S 15045c,4 hit 
L 1108a0,4 miss index:<5> eviction 
L 1108a4,4 hit 
L 1108a8,4 hit 
L 1108ac,4 hit 
L 1108b0,4 hit 
L 1108b4,4 hit 
L 1108b8,4 hit 
L 1108bc,4 hit 
S 1504c0,4 miss index:<6> eviction 
S 150540,4 miss index:<10> eviction 
S 1505c0,4 miss index:<14> eviction 
S 150640,4 miss index:<18> eviction 
S 1506c0,4 miss index:<22> eviction 
S 150740,4 miss index:<26> eviction 
S 1507c0,4 miss index:<30> eviction 
S 150840,4 miss index:<2> eviction 
L 110920,4 miss index:<9> eviction 
L 110924,4 hit 
L 110928,4 hit 
L 11092c,4 hit 
L 110930,4 hit 
L 110934,4 hit 
L 110938,4 hit 
L 11093c,4 hit 
S 1504c4,4 hit 
S 150544,4 hit 
S 1505c4,4 hit 
S 150644,4 hit 
S 1506c4,4 hit 
S 150744,4 hit 
S 1507c4,4 hit 
S 150844,4 hit 
L 1109a0,4 miss index:<13> eviction 
L 1109a4,4 hit 
L 1109a8,4 hit 
L 1109ac,4 hit 
L 1109b0,4 hit 
L 1109b4,4 hit 
L 1109b8,4 hit 
L 1109bc,4 hit 
S 1504c8,4 hit 
S 150548,4 hit 
S 1505c8,4 hit 
S 150648,4 hit 
S 1506c8,4 hit 
S 150748,4 hit 
S 1507c8,4 hit 
S 150848,4 hit 
L 110a20,4 miss index:<17> eviction 
L 110a24,4 hit 
L 110a28,4 hit 
L 110a2c,4 hit 
L 110a30,4 hit 
L 110a34,4 hit 
L 110a38,4 hit 
L 110a3c,4 hit 
S 1504cc,4 hit 
S 15054c,4 hit 
S 1505cc,4 hit 
S 15064c,4 hit 
S 1506cc,4 hit 
S 15074c,4 hit 
S 1507cc,4 hit 
S 15084c,4 hit 
L 110aa0,4 miss index:<21> eviction 
L 110aa4,4 hit 
L 110aa8,4 hit 
L 110aac,4 hit 
L 110ab0,4 hit 
L 110ab4,4 hit 
L 110ab8,4 hit 
L 110abc,4 hit 
S 1504d0,4 hit 
S 150550,4 hit 
S 1505d0,4 hit 
S 150650,4 hit 
S 1506d0,4 hit 
S 150750,4 hit 
S 1507d0,4 hit 
S 150850,4 hit 
L 110b20,4 miss index:<25> eviction 
L 110b24,4 hit 
L 110b28,4 hit 
L 110b2c,4 hit 
L 110b30,4 hit 
L 110b34,4 hit 
L 110b38,4 hit 
L 110b3c,4 hit 
S 1504d4,4 hit 
S 150554,4 hit 
S 1505d4,4 hit 
S 150654,4 hit 
S 1506d4,4 hit 
S 150754,4 hit 
S 1507d4,4 hit 
S 150854,4 hit 
L 110ba0,4 miss index:<29> eviction 
L 110ba4,4 hit 
L 110ba8,4 hit 
L 110bac,4 hit 
L 110bb0,4 hit 
L 110bb4,4 hit 
L 110bb8,4 hit 
L 110bbc,4 hit 
S 1504d8,4 hit 
S 150558,4 hit 
S 1505d8,4 hit 
S 150658,4 hit 
S 1506d8,4 hit 
S 150758,4 hit 
S 1507d8,4 hit 
S 150858,4 hit 
L 110c20,4 miss index:<1> eviction 
L 110c24,4 hit 
L 110c28,4 hit 
L 110c2c,4 hit 
L 110c30,4 hit 
L 110c34,4 hit 
L 110c38,4 hit 
L 110c3c,4 hit 
S 1504dc,4 hit 
S 15055c,4 hit 
S 1505dc,4 hit 
S 15065c,4 hit 
S 1506dc,4 hit 
S 15075c,4 hit 
S 1507dc,4 hit 
S 15085c,4 hit 
L 1108c0,4 miss index:<6> eviction 
L 1108c4,4 hit 
L 1108c8,4 hit 
L 1108cc,4 hit 
L 1108d0,4 hit 
L 1108d4,4 hit 
L 1108d8,4 hit 
L 1108dc,4 hit 
S 1508c0,4 miss index:<6> eviction 
S 150940,4 miss index:<10> eviction 
S 1509c0,4 miss index:<14> eviction 
S 150a40,4 miss index:<18> eviction 
S 150ac0,4 miss index:<22> eviction 
S 150b40,4 miss index:<26> eviction 
S 150bc0,4 miss index:<30> eviction 
S 150c40,4 miss index:<2> eviction 
L 110940,4 miss index:<10> eviction 
L 110944,4 hit 
L 110948,4 hit 
L 11094c,4 hit 
L 110950,4 hit 
L 110954,4 hit 
L 110958,4 hit 
L 11095c,4 hit 
S 1508c4,4 hit 
S 150944,4 miss index:<10> eviction 
S 1509c4,4 hit 
S 150a44,4 hit 
S 150ac4,4 hit 
S 150b44,4 hit 
S 150bc4,4 hit 
S 150c44,4 hit 
L 1109c0,4 miss index:<14> eviction 
L 1109c4,4 hit 
L 1109c8,4 hit 
L 1109cc,4 hit 
L 1109d0,4 hit 
L 1109d4,4 hit 
L 1109d8,4 hit 
L 1109dc,4 hit 
S 1508c8,4 hit 
S 150948,4 hit 
S 1509c8,4 miss index:<14> eviction 
S 150a48,4 hit 
S 150ac8,4 hit 
S 150b48,4 hit 
S 150bc8,4 hit 
S 150c48,4 hit 
L 110a40,4 miss index:<18> eviction 
L 110a44,4 hit 
L 110a48,4 hit 
L 110a4c,4 hit 
L 110a50,4 hit 
L 110a54,4 hit 
L 110a58,4 hit 
L 110a5c,4 hit 
S 1508cc,4 hit 
S 15094c,4 hit 
S 1509cc,4 hit 
S 150a4c,4 miss index:<18> eviction 
S 150acc,4 hit 
S 150b4c,4 hit 
S 150bcc,4 hit 
S 150c4c,4 hit 
L 110ac0,4 miss index:<22> eviction 
L 110ac4,4 hit 
L 110ac8,4 hit 
L 110acc,4 hit 
L 110ad0,4 hit 
L 110ad4,4 hit 
L 110ad8,4 hit 
L 110adc,4 hit 
S 1508d0,4 hit 
S 150950,4 hit 
S 1509d0,4 hit 
S 150a50,4 hit 
S 150ad0,4 miss index:<22> eviction 
S 150b50,4 hit 
S 150bd0,4 hit 
S 150c50,4 hit 
L 110b40,4 miss index:<26> eviction 
L 110b44,4 hit 
L 110b48,4 hit 
L 110b4c,4 hit 
L 110b50,4 hit 
L 110b54,4 hit 
L 110b58,4 hit 
L 110b5c,4 hit 
S 1508d4,4 hit 
S 150954,4 hit 
S 1509d4,4 hit 
S 150a54,4 hit 
S 150ad4,4 hit 
S 150b54,4 miss index:<26> eviction 
S 150bd4,4 hit 
S 150c54,4 hit 
L 110bc0,4 miss index:<30> eviction 
L 110bc4,4 hit 
L 110bc8,4 hit 
L 110bcc,4 hit 
L 110bd0,4 hit 
L 110bd4,4 hit 
L 110bd8,4 hit 
L 110bdc,4 hit 
S 1508d8,4 hit 
S 150958,4 hit 
S 1509d8,4 hit 
S 150a58,4 hit 
S 150ad8,4 hit 
S 150b58,4 hit 
S 150bd8,4 miss index:<30> eviction 
S 150c58,4 hit 
L 110c40,4 miss index:<2> eviction 
L 110c44,4 hit 
L 110c48,4 hit 
L 110c4c,4 hit 
L 110c50,4 hit 
L 110c54,4 hit 
L 110c58,4 hit 
L 110c5c,4 hit 
S 1508dc,4 hit 
S 15095c,4 hit 
S 1509dc,4 hit 
S 150a5c,4 hit 
S 150adc,4 hit 
S 150b5c,4 hit 
S 150bdc,4 hit 
S 150c5c,4 miss index:<2> eviction 
L 1108e0,4 miss index:<7> eviction 
L 1108e4,4 hit 
L 1108e8,4 hit 
L 1108ec,4 hit 
L 1108f0,4 hit 
L 1108f4,4 hit 
L 1108f8,4 hit 
L 1108fc,4 hit 
S 150cc0,4 miss index:<6> eviction 
S 150d40,4 miss index:<10> eviction 
S 150dc0,4 miss index:<14> eviction 
S 150e40,4 miss index:<18> eviction 
S 150ec0,4 miss index:<22> eviction 
S 150f40,4 miss index:<26> eviction 
S 150fc0,4 miss index:<30> eviction 
S 151040,4 miss index:<2> eviction 
L 110960,4 miss index:<11> eviction 
L 110964,4 hit 
L 110968,4 hit 
L 11096c,4 hit 
L 110970,4 hit 
L 110974,4 hit 
L 110978,4 hit 
L 11097c,4 hit 
S 150cc4,4 hit 
S 150d44,4 hit 
S 150dc4,4 hit 
S 150e44,4 hit 
S 150ec4,4 hit 
S 150f44,4 hit 
S 150fc4,4 hit 
S 151044,4 hit 
L 1109e0,4 miss index:<15> eviction 
L 1109e4,4 hit 
L 1109e8,4 hit 
L 1109ec,4 hit 
L 1109f0,4 hit 
L 1109f4,4 hit 
L 1109f8,4 hit 
L 1109fc,4 hit 
S 150cc8,4 hit 
S 150d48,4 hit 
S 150dc8,4 hit 
S 150e48,4 hit 
S 150ec8,4 hit 
S 150f48,4 hit 
S 150fc8,4 hit 
S 151048,4 hit 
L 110a60,4 miss index:<19> eviction 
L 110a64,4 hit 
L 110a68,4 hit 
L 110a6c,4 hit 
L 110a70,4 hit 
L 110a74,4 hit 
L 110a78,4 hit 
L 110a7c,4 hit 
S 150ccc,4 hit 
S 150d4c,4 hit 
S 150dcc,4 hit 
S 150e4c,4 hit 
S 150ecc,4 hit 
S 150f4c,4 hit 
S 150fcc,4 hit 
S 15104c,4 hit 
L 110ae0,4 miss index:<23> eviction 
L 110ae4,4 hit 
L 110ae8,4 hit 
L 110aec,4 hit 
L 110af0,4 hit 
L 110af4,4 hit 
L 110af8,4 hit 
L 110afc,4 hit 
S 150cd0,4 hit 
S 150d50,4 hit 
S 150dd0,4 hit 
S 150e50,4 hit 
S 150ed0,4 hit 
S 150f50,4 hit 
S 150fd0,4 hit 
S 151050,4 hit 
L 110b60,4 miss index:<27> eviction 
L 110b64,4 hit 
L 110b68,4 hit 
L 110b6c,4 hit 
L 110b70,4 hit 
L 110b74,4 hit 
L 110b78,4 hit 
L 110b7c,4 hit 
S 150cd4,4 hit 
S 150d54,4 hit 
S 150dd4,4 hit 
S 150e54,4 hit 
S 150ed4,4 hit 
S 150f54,4 hit 
S 150fd4,4 hit 
S 151054,4 hit 
L 110be0,4 miss index:<31> eviction 
L 110be4,4 hit 
L 110be8,4 hit 
L 110bec,4 hit 
L 110bf0,4 hit 
L 110bf4,4 hit 
L 110bf8,4 hit 
L 110bfc,4 hit 
S 150cd8,4 hit 
S 150d58,4 hit 
S 150dd8,4 hit 
S 150e58,4 hit 
S 150ed8,4 hit 
S 150f58,4 hit 
S 150fd8,4 hit 
S 151058,4 hit 
L 110c60,4 miss index:<3> eviction 
L 110c64,4 hit 
L 110c68,4 hit 
L 110c6c,4 hit 
L 110c70,4 hit 
L 110c74,4 hit 
L 110c78,4 hit 
L 110c7c,4 hit 
S 150cdc,4 hit 
S 150d5c,4 hit 
S 150ddc,4 hit 
S 150e5c,4 hit 
S 150edc,4 hit 
S 150f5c,4 hit 
S 150fdc,4 hit 
S 15105c,4 hit 
L 110c80,4 miss index:<4> eviction 
L 110c84,4 hit 
L 110c88,4 hit 
L 110c8c,4 hit 
L 110c90,4 hit 
L 110c94,4 hit 
L 110c98,4 hit 
L 110c9c,4 hit 
S 1500e0,4 miss index:<7> eviction 
S 150160,4 miss index:<11> eviction 
S 1501e0,4 miss index:<15> eviction 
S 150260,4 miss index:<19> eviction 
S 1502e0,4 miss index:<23> eviction 
S 150360,4 miss index:<27> eviction 
S 1503e0,4 miss index:<31> eviction 
S 150460,4 miss index:<3> eviction 
L 110d00,4 miss index:<8> eviction 
L 110d04,4 hit 
L 110d08,4 hit 
L 110d0c,4 hit 
L 110d10,4 hit 
L 110d14,4 hit 
L 110d18,4 hit 
L 110d1c,4 hit 
S 1500e4,4 hit 
S 150164,4 hit 
S 1501e4,4 hit 
S 150264,4 hit 
S 1502e4,4 hit 
S 150364,4 hit 
S 1503e4,4 hit 
S 150464,4 hit 
L 110d80,4 miss index:<12> eviction 
L 110d84,4 hit 
L 110d88,4 hit 
L 110d8c,4 hit 
L 110d90,4 hit 
L 110d94,4 hit 
L 110d98,4 hit 
L 110d9c,4 hit 
S 1500e8,4 hit 
S 150168,4 hit 
S 1501e8,4 hit 
S 150268,4 hit 
S 1502e8,4 hit 
S 150368,4 hit 
S 1503e8,4 hit 
S 150468,4 hit 
L 110e00,4 miss index:<16> eviction 
L 110e04,4 hit 
L 110e08,4 hit 
L 110e0c,4 hit 
L 110e10,4 hit 
L 110e14,4 hit 
L 110e18,4 hit 
L 110e1c,4 hit 
S 1500ec,4 hit 
S 15016c,4 hit 
S 1501ec,4 hit 
S 15026c,4 hit 
S 1502ec,4 hit 
S 15036c,4 hit 
S 1503ec,4 hit 
S 15046c,4 hit 
L 110e80,4 miss index:<20> eviction 
L 110e84,4 hit 
L 110e88,4 hit 
L 110e8c,4 hit 
L 110e90,4 hit 
L 110e94,4 hit 
L 110e98,4 hit 
L 110e9c,4 hit 
S 1500f0,4 hit 
S 150170,4 hit 
S 1501f0,4 hit 
S 150270,4 hit 
S 1502f0,4 hit 
S 150370,4 hit 
S 1503f0,4 hit 
S 150470,4 hit 
L 110f00,4 miss index:<24> eviction 
L 110f04,4 hit 
L 110f08,4 hit 
L 110f0c,4 hit 
L 110f10,4 hit 
L 110f14,4 hit 
L 110f18,4 hit 
L 110f1c,4 hit 
S 1500f4,4 hit 
S 150174,4 hit 
S 1501f4,4 hit 
S 150274,4 hit 
S 1502f4,4 hit 
S 150374,4 hit 
S 1503f4,4 hit 
S 150474,4 hit 
L 110f80,4 miss index:<28> eviction 
L 110f84,4 hit 
L 110f88,4 hit 
L 110f8c,4 hit 
L 110f90,4 hit 
L 110f94,4 hit 
L 110f98,4 hit 
L 110f9c,4 hit 
S 1500f8,4 hit 
S 150178,4 hit 
S 1501f8,4 hit 
S 150278,4 hit 
S 1502f8,4 hit 
S 150378,4 hit 
S 1503f8,4 hit 
S 150478,4 hit 
L 111000,4 miss index:<0> eviction 
L 111004,4 hit 
L 111008,4 hit 
L 11100c,4 hit 
L 111010,4 hit 
L 111014,4 hit 
L 111018,4 hit 
L 11101c,4 hit 
S 1500fc,4 hit 
S 15017c,4 hit 
S 1501fc,4 hit 
S 15027c,4 hit 
S 1502fc,4 hit 
S 15037c,4 hit 
S 1503fc,4 hit 
S 15047c,4 hit 
L 110ca0,4 miss index:<5> eviction 
L 110ca4,4 hit 
L 110ca8,4 hit 
L 110cac,4 hit 
L 110cb0,4 hit 
L 110cb4,4 hit 
L 110cb8,4 hit 
L 110cbc,4 hit 
S 1504e0,4 miss index:<7> eviction 
S 150560,4 miss index:<11> eviction 
S 1505e0,4 miss index:<15> eviction 
S 150660,4 miss index:<19> eviction 
S 1506e0,4 miss index:<23> eviction 
S 150760,4 miss index:<27> eviction 
S 1507e0,4 miss index:<31> eviction 
S 150860,4 miss index:<3> eviction 
L 110d20,4 miss index:<9> eviction 
L 110d24,4 hit 
L 110d28,4 hit 
L 110d2c,4 hit 
L 110d30,4 hit 
L 110d34,4 hit 
L 110d38,4 hit 
L 110d3c,4 hit 
S 1504e4,4 hit 
S 150564,4 hit 
S 1505e4,4 hit 
S 150664,4 hit 
S 1506e4,4 hit 
S 150764,4 hit 
S 1507e4,4 hit 
S 150864,4 hit 
L 110da0,4 miss index:<13> eviction 
L 110da4,4 hit 
L 110da8,4 hit 
L 110dac,4 hit 
L 110db0,4 hit 
L 110db4,4 hit 
L 110db8,4 hit 
L 110dbc,4 hit 
S 1504e8,4 hit 
S 150568,4 hit 
S 1505e8,4 hit 
S 150668,4 hit 
S 1506e8,4 hit 
S 150768,4 hit 
S 1507e8,4 hit 
S 150868,4 hit 
L 110e20,4 miss index:<17> eviction 
L 110e24,4 hit 
L 110e28,4 hit 
L 110e2c,4 hit 
L 110e30,4 hit 
L 110e34,4 hit 
L 110e38,4 hit 
L 110e3c,4 hit 
S 1504ec,4 hit 
S 15056c,4 hit 
S 1505ec,4 hit 
S 15066c,4 hit 
S 1506ec,4 hit 
S 15076c,4 hit 
S 1507ec,4 hit 
S 15086c,4 hit 
L 110ea0,4 miss index:<21> eviction 
L 110ea4,4 hit 
L 110ea8,4 hit 
L 110eac,4 hit 
L 110eb0,4 hit 
L 110eb4,4 hit 
L 110eb8,4 hit 
L 110ebc,4 hit 
S 1504f0,4 hit 
S 150570,4 hit 
S 1505f0,4 hit 
S 150670,4 hit 
S 1506f0,4 hit 
S 150770,4 hit 
S 1507f0,4 hit 
S 150870,4 hit 
L 110f20,4 miss index:<25> eviction 
L 110f24,4 hit 
L 110f28,4 hit 
L 110f2c,4 hit 
L 110f30,4 hit 
L 110f34,4 hit 
L 110f38,4 hit 
L 110f3c,4 hit 
S 1504f4,4 hit 
S 150574,4 hit 
S 1505f4,4 hit 
S 150674,4 hit 
S 1506f4,4 hit 
S 150774,4 hit 
S 1507f4,4 hit 
S 150874,4 hit 
L 110fa0,4 miss index:<29> eviction 
L 110fa4,4 hit 
L 110fa8,4 hit 
L 110fac,4 hit 
L 110fb0,4 hit 
L 110fb4,4 hit 
L 110fb8,4 hit 
L 110fbc,4 hit 
S 1504f8,4 hit 
S 150578,4 hit 
S 1505f8,4 hit 
S 150678,4 hit 
S 1506f8,4 hit 
S 150778,4 hit 
S 1507f8,4 hit 
S 150878,4 hit 
L 111020,4 miss index:<1> eviction 
L 111024,4 hit 
L 111028,4 hit 
L 11102c,4 hit 
L 111030,4 hit 
L 111034,4 hit 
L 111038,4 hit 
L 11103c,4 hit 
S 1504fc,4 hit 
S 15057c,4 hit 
S 1505fc,4 hit 
S 15067c,4 hit 
S 1506fc,4 hit 
S 15077c,4 hit 
S 1507fc,4 hit 
S 15087c,4 hit 
L 110cc0,4 miss index:<6> eviction 
L 110cc4,4 hit 
L 110cc8,4 hit 
L 110ccc,4 hit 
L 110cd0,4 hit 
L 110cd4,4 hit 
L 110cd8,4 hit 
L 110cdc,4 hit 
S 1508e0,4 miss index:<7> eviction 
S 150960,4 miss index:<11> eviction 
S 1509e0,4 miss index:<15> eviction 
S 150a60,4 miss index:<19> eviction 
S 150ae0,4 miss index:<23> eviction 
S 150b60,4 miss index:<27> eviction 
S 150be0,4 miss index:<31> eviction 
S 150c60,4 miss index:<3> eviction 
L 110d40,4 miss index:<10> eviction 
L 110d44,4 hit 
L 110d48,4 hit 
L 110d4c,4 hit 
L 110d50,4 hit 
L 110d54,4 hit 
L 110d58,4 hit 
L 110d5c,4 hit 
S 1508e4,4 hit 
S 150964,4 hit 
S 1509e4,4 hit 
S 150a64,4 hit 
S 150ae4,4 hit 
S 150b64,4 hit 
S 150be4,4 hit 
S 150c64,4 hit 
L 110dc0,4 miss index:<14> eviction 
L 110dc4,4 hit 
L 110dc8,4 hit 
L 110dcc,4 hit 
L 110dd0,4 hit 
L 110dd4,4 hit 
L 110dd8,4 hit 
L 110ddc,4 hit 
S 1508e8,4 hit 
S 150968,4 hit 
S 1509e8,4 hit 
S 150a68,4 hit 
S 150ae8,4 hit 
S 150b68,4 hit 
S 150be8,4 hit 
S 150c68,4 hit 
L 110e40,4 miss index:<18> eviction 
L 110e44,4 hit 
L 110e48,4 hit 
L 110e4c,4 hit 
L 110e50,4 hit 
L 110e54,4 hit 
L 110e58,4 hit 
L 110e5c,4 hit 
S 1508ec,4 hit 
S 15096c,4 hit 
S 1509ec,4 hit 
S 150a6c,4 hit 
S 150aec,4 hit 
S 150b6c,4 hit 
S 150bec,4 hit 
S 150c6c,4 hit 
L 110ec0,4 miss index:<22> eviction 
L 110ec4,4 hit 
L 110ec8,4 hit 
L 110ecc,4 hit 
L 110ed0,4 hit 
L 110ed4,4 hit 
L 110ed8,4 hit 
L 110edc,4 hit 
S 1508f0,4 hit 
S 150970,4 hit 
S 1509f0,4 hit 
S 150a70,4 hit 
S 150af0,4 hit 
S 150b70,4 hit 
S 150bf0,4 hit 
S 150c70,4 hit 
L 110f40,4 miss index:<26> eviction 
L 110f44,4 hit 
L 110f48,4 hit 
L 110f4c,4 hit 
L 110f50,4 hit 
L 110f54,4 hit 
L 110f58,4 hit 
L 110f5c,4 hit 
S 1508f4,4 hit 
S 150974,4 hit 
S 1509f4,4 hit 
S 150a74,4 hit 
S 150af4,4 hit 
S 150b74,4 hit 
S 150bf4,4 hit 
S 150c74,4 hit 
L 110fc0,4 miss index:<30> eviction 
L 110fc4,4 hit 
L 110fc8,4 hit 
L 110fcc,4 hit 
L 110fd0,4 hit 
L 110fd4,4 hit 
L 110fd8,4 hit 
L 110fdc,4 hit 
S 1508f8,4 hit 
S 150978,4 hit 
S 1509f8,4 hit 
S 150a78,4 hit 
S 150af8,4 hit 
S 150b78,4 hit 
S 150bf8,4 hit 
S 150c78,4 hit 
L 111040,4 miss index:<2> eviction 
L 111044,4 hit 
L 111048,4 hit 
L 11104c,4 hit 
L 111050,4 hit 
L 111054,4 hit 
L 111058,4 hit 
L 11105c,4 hit 
S 1508fc,4 hit 
S 15097c,4 hit 
S 1509fc,4 hit 
S 150a7c,4 hit 
S 150afc,4 hit 
S 150b7c,4 hit 
S 150bfc,4 hit 
S 150c7c,4 hit 
L 110ce0,4 miss index:<7> eviction 
L 110ce4,4 hit 
L 110ce8,4 hit 
L 110cec,4 hit 
L 110cf0,4 hit 
L 110cf4,4 hit 
L 110cf8,4 hit 
L 110cfc,4 hit 
S 150ce0,4 miss index:<7> eviction 
S 150d60,4 miss index:<11> eviction 
S 150de0,4 miss index:<15> eviction 
S 150e60,4 miss index:<19> eviction 
S 150ee0,4 miss index:<23> eviction 
S 150f60,4 miss index:<27> eviction 
S 150fe0,4 miss index:<31> eviction 
S 151060,4 miss index:<3> eviction 
L 110d60,4 miss index:<11> eviction 
L 110d64,4 hit 
L 110d68,4 hit 
L 110d6c,4 hit 
L 110d70,4 hit 
L 110d74,4 hit 
L 110d78,4 hit 
L 110d7c,4 hit 
S 150ce4,4 hit 
S 150d64,4 miss index:<11> eviction 
S 150de4,4 hit 
S 150e64,4 hit 
S 150ee4,4 hit 
S 150f64,4 hit 
S 150fe4,4 hit 
S 151064,4 hit 
L 110de0,4 miss index:<15> eviction 
L 110de4,4 hit 
L 110de8,4 hit 
L 110dec,4 hit 
L 110df0,4 hit 
L 110df4,4 hit 
L 110df8,4 hit 
L 110dfc,4 hit 
S 150ce8,4 hit 
S 150d68,4 hit 
S 150de8,4 miss index:<15> eviction 
S 150e68,4 hit 
S 150ee8,4 hit 
S 150f68,4 hit 
S 150fe8,4 hit 
S 151068,4 hit 
L 110e60,4 miss index:<19> eviction 
L 110e64,4 hit 
L 110e68,4 hit 
L 110e6c,4 hit 
L 110e70,4 hit 
L 110e74,4 hit 
L 110e78,4 hit 
L 110e7c,4 hit 
S 150cec,4 hit 
S 150d6c,4 hit 
S 150dec,4 hit 
S 150e6c,4 miss index:<19> eviction 
S 150eec,4 hit 
S 150f6c,4 hit 
S 150fec,4 hit 
S 15106c,4 hit 
L 110ee0,4 miss index:<23> eviction 
L 110ee4,4 hit 
L 110ee8,4 hit 
L 110eec,4 hit 
L 110ef0,4 hit 
L 110ef4,4 hit 
L 110ef8,4 hit 
L 110efc,4 hit 
S 150cf0,4 hit 
S 150d70,4 hit 
S 150df0,4 hit 
S 150e70,4 hit 
S 150ef0,4 miss index:<23> eviction 
S 150f70,4 hit 
S 150ff0,4 hit 
S 151070,4 hit 
L 110f60,4 miss index:<27> eviction 
L 110f64,4 hit 
L 110f68,4 hit 
L 110f6c,4 hit 
L 110f70,4 hit 
L 110f74,4 hit 
L 110f78,4 hit 
L 110f7c,4 hit 
S 150cf4,4 hit 
S 150d74,4 hit 
S 150df4,4 hit 
S 150e74,4 hit 
S 150ef4,4 hit 
S 150f74,4 miss index:<27> eviction 
S 150ff4,4 hit 
S 151074,4 hit 
L 110fe0,4 miss index:<31> eviction 
L 110fe4,4 hit 
L 110fe8,4 hit 
L 110fec,4 hit 
L 110ff0,4 hit 
L 110ff4,4 hit 
L 110ff8,4 hit 
L 110ffc,4 hit 
S 150cf8,4 hit 
S 150d78,4 hit 
S 150df8,4 hit 
S 150e78,4 hit 
S 150ef8,4 hit 
S 150f78,4 hit 
S 150ff8,4 miss index:<31> eviction 
S 151078,4 hit 
L 111060,4 miss index:<3> eviction 
L 111064,4 hit 
L 111068,4 hit 
L 11106c,4 hit 
L 111070,4 hit 
L 111074,4 hit 
L 111078,4 hit 
L 11107c,4 hit 
S 150cfc,4 hit 
S 150d7c,4 hit 
S 150dfc,4 hit 
S 150e7c,4 hit 
S 150efc,4 hit 
S 150f7c,4 hit 
S 150ffc,4 hit 
S 15107c,4 miss index:<3> eviction 

S 19008d,1 miss index:<4> eviction 
hits:1766 misses:287 evictions:255
